Site ID,Wetland Type Stagg,Wetland Subclass LUCAS,Transect,Year,Aboveground NPP ,Belowground NPP,Aboveground Mortality,Belowground Mortality ,AGVF.annual.percent.loss,BGVF.annual.percent.loss,AGVF.percent.lignin,BGVF.percent.lignin,Foliage Live Stock,Fine Roots Live Stock,AGVF.DOM.Stock,BGVF.DOM.Stock
4455,4,Estuarine Herbaceous,4,1,795.0154522,2474.249828,753.4287351,2046.935777,NA,NA,NA,NA,370.3237364,1624.131637,280.32,1609.692696
4455,4,Estuarine Herbaceous,5,1,188.836331,2694.67172,202.6539583,2442.116713,NA,NA,NA,NA,327.7023701,14.65721019,193.25,1406.595592
211,1,Palustrine Herbaceous,1,2,551.349455,2645.66293,544.1440444,2802.90162,NA,NA,NA,NA,438.8687306,98.50872611,51.48941868,413.0149898
211,1,Palustrine Herbaceous,2,2,430.3493211,1477.25562,573.2954815,1635.057218,NA,NA,NA,NA,255.08155,105.2636102,40.99124076,1444.092015
211,1,Palustrine Herbaceous,3,2,500.9184874,2693.510025,314.5533826,2425.56629,NA,NA,NA,NA,469.2409262,283.1422242,55.7715702,1526.461341
211,1,Palustrine Herbaceous,4,2,403.9899158,1977.679949,399.2018488,2270.016321,NA,NA,NA,NA,375.5861285,1.125814013,149.3055008,115.6675643
211,1,Palustrine Herbaceous,5,2,460.5039558,2197.026046,428.209972,2356.891636,NA,NA,NA,NA,414.332693,309.0359465,110.7143369,2951.275429
273,1,Palustrine Herbaceous,1,2,231.0051126,2344.506174,261.6081916,2567.068043,NA,NA,NA,NA,188.0049091,19.72067197,87.07195552,1701.16285
273,1,Palustrine Herbaceous,2,2,212.6505242,1247.848996,334.6981677,1453.507432,NA,NA,NA,NA,219.3563437,12.95929873,236.777648,860.277172
273,1,Palustrine Herbaceous,3,2,350.5622701,5282.886298,395.1646115,4512.089748,NA,NA,NA,NA,151.4858456,6.761373248,229.6397525,1084.748401
273,1,Palustrine Herbaceous,4,2,424.395417,1850.925927,291.0342955,2524.246013,NA,NA,NA,NA,336.2761093,10.70550764,267.5241762,795.6388599
273,1,Palustrine Herbaceous,5,2,542.6183238,4362.024825,490.8504341,4639.992392,NA,NA,NA,NA,353.6109984,10.14205987,227.6522029,3321.821621
327,1,Palustrine Herbaceous,1,2,214.0853232,287.9241962,439.5349658,2122.746149,NA,NA,NA,NA,161.8858267,6.114220382,51.56017792,128.0742115
327,1,Palustrine Herbaceous,2,2,294.9850394,1555.791168,466.5936919,1654.730371,NA,NA,NA,NA,210.8368938,2.223352866,41.7284952,257.2919427
327,1,Palustrine Herbaceous,3,2,445.9160562,2066.606489,483.2159744,1979.339889,NA,NA,NA,NA,292.7733427,135.6245248,91.7508528,2086.351775
327,1,Palustrine Herbaceous,4,2,289.853212,961.6001146,382.9984704,966.6026586,NA,NA,NA,NA,94.70554128,0,111.0513618,709.5540019
327,1,Palustrine Herbaceous,5,2,347.9275277,422.9928828,413.1673949,924.9147924,NA,NA,NA,NA,171.4583262,5.002543949,106.8007573,777.5934268
331,1,Palustrine Herbaceous,1,2,640.2818902,669.435949,562.5398265,908.7650127,NA,NA,NA,NA,329.9481852,12.56620382,523.4946912,639.4664879
331,1,Palustrine Herbaceous,2,2,457.7419056,NA,713.6245269,NA,NA,NA,NA,NA,228.049043,2.855955414,402.2939248,115.3958783
331,1,Palustrine Herbaceous,3,2,488.5255215,NA,570.4107177,NA,NA,NA,NA,NA,155.0846615,0.571191083,319.6080294,35.5765949
331,1,Palustrine Herbaceous,4,2,264.9430724,1409.699592,298.1146457,1676.445828,NA,NA,NA,NA,163.904726,25.70359873,182.1104704,306.5060484
331,1,Palustrine Herbaceous,5,2,207.2626785,NA,222.1931564,NA,NA,NA,NA,NA,180.6610811,0,74.53749916,364.4320427
367,1,Palustrine Herbaceous,1,2,648.508817,4398.152856,730.8948735,4893.279597,NA,NA,NA,NA,408.745865,1.672725478,209.680295,54.38883057
367,1,Palustrine Herbaceous,2,2,1005.005672,1343.941992,879.7641985,1997.977654,NA,NA,NA,NA,375.84899,1.115150318,315.28365,161.4668408
367,1,Palustrine Herbaceous,3,2,237.225945,NA,270.6439065,NA,NA,NA,NA,NA,245.48964,0,72.794205,135.4055261
367,1,Palustrine Herbaceous,4,2,238.19092,3750.808096,337.1043665,3154.202676,NA,NA,NA,NA,173.62532,0.557575159,105.919165,103.112158
367,1,Palustrine Herbaceous,5,2,254.876215,NA,320.9278765,NA,NA,NA,NA,NA,168.92326,0.557575159,107.0245,208.4905172
3166,1,Palustrine Herbaceous,1,2,467.5230818,2917.323968,533.3584778,2931.377204,NA,NA,NA,NA,217.1154492,6.387834395,130.6308416,2035.980499
3166,1,Palustrine Herbaceous,2,2,271.0757837,2700.776382,509.3982986,2688.639497,NA,NA,NA,NA,203.6339744,24.2737707,88.63682256,1206.73774
3166,1,Palustrine Herbaceous,3,2,405.5289592,2064.548076,655.7489186,2337.947389,NA,NA,NA,NA,262.5874477,11.49810191,44.37006444,1000.595364
3166,1,Palustrine Herbaceous,4,2,585.6022056,1876.745745,508.9609685,1950.205841,NA,NA,NA,NA,240.927556,16.60836943,98.26152804,1165.716965
3166,1,Palustrine Herbaceous,5,2,196.2992257,1492.198115,440.7856844,1825.004287,NA,NA,NA,NA,167.442327,7.026617834,121.2471842,132.4088312
