"","Site","Habitat.Type.2014","Mode_Habitat_Type","Core.Increment.cm","Percent.Moisture","Bulk.Density.g.cm.3","LOI.percent","TC.percent","TC.g.cm.3","min.depth.cm","max.depth.cm","TC.g.m.2.per.cm"
"246","337","Saline","Saline","78-80",78.75087391,0.152472982,41.16521739,18.14093217,0.02766002,"78","80",276.6002
"247","337","Saline","Saline","98-100",71.89919677,0.187975993,25.36784908,11.40651406,0.021441508,"98","100",214.41508
"248","377","Saline","Saline","0-2",64.00709684,0.17512646,20.50702061,9.334342888,0.016346904,"0","2",163.46904
"249","377","Saline","Saline","2-4",64.38626438,0.163636746,17.69863144,8.137126582,0.013315329,"2","4",133.15329
"250","377","Saline","Saline","4-6",68.65858956,0.248014331,21.22756423,9.641510631,0.023912328,"4","6",239.12328
"251","377","Saline","Saline","8-10",67.33912462,0.193972952,17.93905817,8.239620499,0.015982635,"8","10",159.82635
"252","377","Saline","Saline","12-14",58.74719549,0.127823064,17.77051561,8.167770806,0.010440295,"12","14",104.40295
"253","377","Saline","Saline","16-18",58.19846662,0.277955832,11.1013407,5.324701542,0.014800318,"16","18",148.00318
"254","377","Saline","Saline","22-24",54.55847395,0.315926382,10.83636152,5.211740914,0.016465264,"22","24",164.65264
"255","377","Saline","Saline","38-40",67.77201414,0.245383818,18.61209621,8.526536613,0.020922741,"38","40",209.22741
"256","377","Saline","Saline","58-60",66.68496581,0.275073218,16.50867424,7.62984783,0.020987668,"58","60",209.87668
"257","377","Saline","Saline","78-80",62.2856646,0.309285164,12.0133943,5.713509991,0.017671039,"78","80",176.71039
"258","377","Saline","Saline","98-100",54.94466925,0.277859066,10.22254079,4.950069138,0.013754216,"98","100",137.54216
"259","4455","Saline","Saline","0-2",61.31753739,0.121311717,29.10054958,12.99776429,0.015767811,"0","2",157.67811
"260","4455","Saline","Saline","2-4",57.91901012,0.114316539,32.76229401,14.55876594,0.016643077,"2","4",166.43077
"261","4455","Saline","Saline","4-6",47.9127548,0.088299162,24.90962866,11.2111747,0.009899373,"4","6",98.99373
"262","4455","Saline","Saline","8-10",53.75855182,0.110843142,25.28053114,11.36929042,0.012602079,"8","10",126.02079
"263","4455","Saline","Saline","12-14",58.61857118,0.21611968,20.0169822,9.125439512,0.019721871,"12","14",197.21871
"264","4455","Saline","Saline","16-18",30.17474708,0.135330085,4.707236954,2.598895113,0.003517087,"16","18",35.17087
"265","4455","Saline","Saline","22-24",64.1025641,0.185312376,18.38916464,8.431500886,0.015624615,"22","24",156.24615
"266","4455","Saline","Saline","38-40",60.01133374,0.24078997,21.45914055,9.740231618,0.023453501,"38","40",234.53501
"267","4455","Saline","Saline","58-60",79.01258999,0.135032147,47.92277462,21.02167882,0.028386024,"58","60",283.86024
"268","4455","Saline","Saline","78-80",65.99420605,0.222692143,18.97848813,8.682729488,0.019335756,"78","80",193.35756
"269","4455","Saline","Saline","98-100",70.97087,0.170759248,42.33185593,18.63827018,0.03182657,"98","100",318.2657
