Site,Habitat Type 2014,Mode_Habitat_Type,Core Increment cm,Percent Moisture,Bulk Density g cm-3,LOI percent,TC percent,TC g cm-3
331,Fresh,Fresh,58-60,66.6798595,0.068602147,78.81968743,34.19303275,0.023457154
331,Fresh,Fresh,78-80,24.8384247,0.37047451,40.75429767,17.9657571,0.066558551
331,Fresh,Fresh,98-100,79.81853226,0.113053486,45.37030952,19.93356295,0.022535588
367,Fresh,Fresh,0-2,49.48340514,0.064494676,88.42149105,38.28628163,0.024692613
367,Fresh,Fresh,2-4,55.46571459,0.064797707,85.32833021,36.96766717,0.023954201
367,Fresh,Fresh,4-6,58.6715449,0.065009065,84.07908429,36.43511363,0.023686127
367,Fresh,Fresh,8-10,42.51960926,0.060835385,84.35897436,36.55443077,0.022238029
367,Fresh,Fresh,12-14,37.08438552,0.060906687,84.66453674,36.68469201,0.02234343
367,Fresh,Fresh,16-18,53.05507664,0.063096659,77.30532787,33.54746127,0.021167327
367,Fresh,Fresh,20-22,67.49708529,0.075251004,ND,ND,ND
367,Fresh,Fresh,38-40,72.44941518,0.08217488,61.02874433,26.60875371,0.021865711
367,Fresh,Fresh,58-60,74.83387724,0.135694231,29.56174427,13.19437158,0.017904001
367,Fresh,Fresh,78-80,81.78290726,0.112141846,61.03362711,26.61083524,0.029841882
367,Fresh,Fresh,98-100,73.73790806,0.118839086,32.91314108,14.62307204,0.017377925
3166,Fresh,Fresh,0-2,79.47068034,0.103504189,58.59171726,25.56984907,0.026465865
3166,Fresh,Fresh,2-4,73.96635345,0.085156807,73.37331066,31.87124233,0.027140532
3166,Fresh,Fresh,4-6,81.49746516,0.092472842,65.19864273,28.38638139,0.026249694
3166,Fresh,Fresh,8-10,64.78726491,0.067988445,78.23781873,33.94498213,0.023078666
3166,Fresh,Fresh,12-14,54.48159543,0.06253898,87.93002915,38.07677143,0.023812824
3166,Fresh,Fresh,16-18,74.18827579,0.068362778,83.38846881,36.14070425,0.024706789
3166,Fresh,Fresh,20-22,85.2101179,0.09158412,82.52092204,35.77086906,0.032760436
3166,Fresh,Fresh,38-40,87.54723793,0.133504259,70.5379013,30.66250733,0.040935753
3166,Fresh,Fresh,40-42,87.47104827,0.112679153,100,43.2222,0.048702409
3166,Fresh,Fresh,46-48,87.05958407,0.119788923,68.0265381,29.59191319,0.035447834
3166,Fresh,Fresh,52-54,85.47722157,0.170708319,68.95823877,29.98909719,0.051193884
3166,Fresh,Fresh,60-62,69.75589175,0.279280001,19.42687096,8.873875091,0.024782958
3166,Fresh,Fresh,78-80,74.2174086,0.371294477,28.85502371,12.89309661,0.047871356
3166,Fresh,Fresh,98-100,50.64872515,0.889762712,8.32933262,4.142994496,0.03686282
225,Intermediate,Brackish,0-2,54.83502638,0.087631985,41.89590076,18.45242249,0.016170224
225,Intermediate,Brackish,2-4,63.36988751,0.099093687,37.67804878,16.65435219,0.016503412
225,Intermediate,Brackish,4-6,65.48300398,0.090916943,45.03140007,19.78908585,0.017991632
225,Intermediate,Brackish,8-10,65.83980405,0.150229534,28.71029335,12.83139806,0.019276549
225,Intermediate,Brackish,12-14,69.96380216,0.105016798,44.98707533,19.77019021,0.020762021
225,Intermediate,Brackish,16-18,78.14896793,0.140527449,50.46755657,22.10651937,0.031065728
225,Intermediate,Brackish,22-24,78.07140051,0.102358273,57.89886759,25.27448725,0.025870529
225,Intermediate,Brackish,38-40,79.14740467,0.102689316,57.326164,25.03034371,0.025703489
225,Intermediate,Brackish,58-60,81.82962853,0.096646521,82.45848956,35.7442541,0.034545578
225,Intermediate,Brackish,78-80,84.15142623,0.099987501,80.24491993,34.80060937,0.03479626
225,Intermediate,Brackish,98-100,84.27220395,0.12272756,74.6953405,32.43482366,0.039806468
305,Intermediate,Intermediate,0-2,65.05039712,0.12494045,20.44695226,9.308735749,0.011630376
305,Intermediate,Intermediate,2-4,67.36172007,0.124161227,21.04478579,9.563592184,0.011874273
305,Intermediate,Intermediate,4-6,64.69857163,0.154064531,14.28163518,6.680461076,0.010292221
305,Intermediate,Intermediate,8-10,66.36371142,0.176356664,13.9265842,6.529102846,0.011514508
305,Intermediate,Intermediate,12-14,72.67569528,0.143858243,20.55354134,9.354174672,0.013456751
305,Intermediate,Intermediate,16-18,63.34925857,0.20707204,12.82148765,6.058000184,0.012544425
305,Intermediate,Intermediate,22-24,61.4967691,0.283288159,10.28150785,4.975206795,0.014094172
305,Intermediate,Intermediate,38-40,52.50873744,0.412809725,7.559477623,3.814805311,0.015747887
305,Intermediate,Intermediate,58-60,77.72760318,0.202839792,31.36870521,13.96467903,0.028325926
305,Intermediate,Intermediate,78-80,64.02479249,0.252743143,17.48383748,8.045559917,0.020334601
305,Intermediate,Intermediate,98-100,67.93915491,0.270346953,24.51999042,11.04507192,0.029860015
398,Intermediate,Intermediate,0-2,62.42462543,0.10901477,39.10992969,17.26476303,0.018821142
398,Intermediate,Intermediate,2-4,62.26961622,0.119743086,27.69591628,12.39896911,0.014846908
398,Intermediate,Intermediate,4-6,63.49302507,0.112024708,26.90766271,12.06293661,0.01351347
398,Intermediate,Intermediate,8-10,66.46154054,0.126155121,26.79981421,12.0169608,0.015160011
398,Intermediate,Intermediate,12-14,67.15857291,0.200160896,19.62025317,8.956313924,0.017927038
398,Intermediate,Intermediate,16-18,72.81802225,0.12855645,36.55484762,16.17553154,0.020794689
398,Intermediate,Intermediate,22-24,71.05717209,0.170010583,27.67719569,12.39098852,0.021065992
398,Intermediate,Intermediate,38-40,73.54948673,0.173089277,31.11854127,13.85803414,0.023986771
398,Intermediate,Intermediate,56-58,77.59037059,0.135401386,ND,ND,ND
398,Intermediate,Intermediate,78-80,81.23423635,0.134520304,64.61145567,28.13606355,0.037848718
398,Intermediate,Intermediate,98-100,72.34066923,0.129137048,44.41164412,19.52488389,0.025213859
4045,Intermediate,Fresh,0-2,61.07052759,0.090379636,34.40533271,15.25919333,0.013791203
4045,Intermediate,Fresh,2-4,67.63343276,0.090909303,38.24130879,16.89446994,0.015358645
4045,Intermediate,Fresh,4-6,74.54398372,0.074522711,58.69800108,25.61515786,0.01908911
4045,Intermediate,Fresh,18-20,72.0871536,0.068996851,ND,ND,ND
4045,Intermediate,Fresh,22-24,75.62291237,0.1148513,39.83757682,17.574959,0.020185069
4045,Intermediate,Fresh,38-40,79.40895035,0.141925466,41.48179375,18.27588868,0.02593814
4045,Intermediate,Fresh,58-60,57.44833295,0.399257363,15.04169976,7.004476609,0.027965889
4045,Intermediate,Fresh,78-80,39.28368819,0.534174919,9.37058861,4.586881925,0.024501973
4045,Intermediate,Fresh,98-100,50.4543956,0.432453265,124.106058,53.49861254,0.231356497
4045,Intermediate,Fresh,10-12,70.78921599,0.145844497,ND,ND,ND
4045,Intermediate,Fresh,14-16,78.2845268,0.089941641,ND,ND,ND
4245,Intermediate,Intermediate,0-2,73.90769881,0.138370581,32.98041292,14.65175003,0.020273712
4245,Intermediate,Intermediate,2-4,69.71152793,0.140797375,27.14479433,12.16402582,0.017126629
4245,Intermediate,Intermediate,4-6,73.83875439,0.127845983,34.90413904,15.47183447,0.019780119
4245,Intermediate,Intermediate,8-10,76.52991163,0.134051752,39.15541983,17.28415547,0.023169713
4245,Intermediate,Intermediate,12-14,72.77972004,0.204612141,25.43681988,11.43591632,0.023399273
4245,Intermediate,Intermediate,16-18,78.453812,0.202656445,36.15745794,16.00612432,0.032437443
4245,Intermediate,Intermediate,20-22,82.14675223,0.233020662,38.20484139,16.87892389,0.03933138
4245,Intermediate,Intermediate,38-40,82.64466791,0.247693475,41.77430049,18.4005843,0.045577047
4245,Intermediate,Intermediate,78-80,85.66244234,0.261273848,67.09131612,29.19322806,0.07627427
4245,Intermediate,Intermediate,82-84,86.82016919,0.168340093,69.21548459,30.09876108,0.050668282
4245,Intermediate,Intermediate,86-88,87.87289166,0.234576561,74.81730939,32.48681899,0.076206463
4245,Intermediate,Intermediate,98-100,87.57201529,0.17792504,78.57648283,34.08935463,0.060653498
4245,Intermediate,Intermediate,60-62,71.43468152,0.413275731,24.94022478,11.22421783,0.046386968
4245,Intermediate,Intermediate,90-92,88.01588949,0.207270665,76.45629804,33.18551986,0.068783848
BA,Intermediate,Fresh,0-2,79.68677455,0.091357484,21.2386075,9.646218377,0.008812542
BA,Intermediate,Fresh,2-4,81.08543126,0.100845665,85.82039163,37.17743295,0.037491829
BA,Intermediate,Fresh,4-6,76.67368304,0.085505675,86.51007777,37.47144615,0.032040213
BA,Intermediate,Fresh,8-10,79.10867949,0.080122418,91.2568306,39.49498689,0.031644339
BA,Intermediate,Fresh,12-14,73.52675011,0.075238271,92.8866588,40.18978264,0.030238098
BA,Intermediate,Fresh,16-18,71.42121789,0.07069026,91.38070246,39.54779346,0.027956438
BA,Intermediate,Fresh,22-24,67.29732007,0.079052897,92.25187873,39.9191759,0.031557265
BA,Intermediate,Fresh,38-40,70.92272266,0.095500605,ND,ND,ND
BA,Intermediate,Fresh,58-60,77.00064286,0.081082441,81.16998866,35.19496616,0.028536938
BA,Intermediate,Fresh,78-80,79.8277171,0.103522014,53.93509597,23.58473141,0.024415389
BA,Intermediate,Fresh,98-100,75.75373682,0.079928886,61.86915888,26.96702243,0.021554441
BA,Intermediate,Fresh,34-36,75.01797038,0.079651319,88.98582334,38.52685649,0.03068715
175,Saline,Saline,0-2,58.02851285,0.133970265,17.96864441,8.252233112,0.011055539
175,Saline,Saline,2-4,61.51673568,0.183893987,17.53565017,8.067647669,0.014835919
175,Saline,Saline,4-6,60.17982653,0.20096813,15.22352431,7.081988412,0.01423254
175,Saline,Saline,8-10,72.94149959,0.150527472,29.30840912,13.08637481,0.019698589
175,Saline,Saline,12-14,60.04962779,0.207041482,13.4614393,6.330811574,0.013107406
175,Saline,Saline,16-18,68.10021753,0.181856804,19.74406991,9.009097004,0.016383656
175,Saline,Saline,22-24,73.71968763,0.195386248,29.7046477,13.25529132,0.025899016
175,Saline,Saline,38-40,66.5013164,0.248834297,15.52518471,7.210586241,0.017942412
175,Saline,Saline,58-60,73.80246619,0.173068905,29.45974648,13.15088992,0.022760101
175,Saline,Saline,78-80,74.89008093,0.412437939,13.74256806,6.450656764,0.026604956
175,Saline,Saline,98-100,31.74677302,0.837389277,3.719325412,2.177748423,0.018236232
224,Saline,Saline,0-2,63.90872487,0.148136328,26.11288955,11.72412481,0.017367688
224,Saline,Saline,2-4,61.91094213,0.159182954,22.31590366,10.10546973,0.016086185
224,Saline,Saline,4-6,59.45628845,0.144314063,20.84181552,9.477065957,0.013676739
224,Saline,Saline,8-10,66.45712997,0.159116746,29.72907065,13.26570282,0.021107955
224,Saline,Saline,12-14,70.1522236,0.131018896,40.30419568,17.77387862,0.023287139
224,Saline,Saline,16-18,72.77537503,0.16286007,38.59790111,17.04648524,0.027761918
224,Saline,Saline,22-24,67.63416526,0.104156088,47.61455384,20.8902843,0.021758503
224,Saline,Saline,38-40,55.49101784,0.111421193,22.47117584,10.17166226,0.011333387
224,Saline,Saline,58-60,78.09324541,0.131976372,51.96690703,22.74569247,0.03001894
224,Saline,Saline,78-80,80.3082568,0.091291275,71.69642242,31.15638488,0.028443061
224,Saline,Saline,98-100,75.44067632,0.096539569,62.04989554,27.04407047,0.026108229
237,Saline,Saline,0-2,38.61345485,0.270306209,6.769749587,3.478144249,0.00940164
237,Saline,Saline,2-4,52.2985413,0.338590046,13.20007155,6.219390502,0.021058237
237,Saline,Saline,4-6,57.80591746,0.176236725,18.01653936,8.272650729,0.014579449
237,Saline,Saline,8-10,54.9949791,0.245373632,31.07541347,13.83964876,0.033958849
237,Saline,Saline,12-14,47.48262807,0.27906355,13.33598726,6.277331369,0.017517744
237,Saline,Saline,16-18,51.89726729,0.227260526,13.9272234,6.529375336,0.014838693
237,Saline,Saline,22-24,63.96357466,0.144405736,31.60737515,14.06642403,0.020312723
237,Saline,Saline,38-40,64.03966391,0.277690998,17.48201521,8.044783084,0.022339638
237,Saline,Saline,58-60,62.0433284,0.360894656,13.60552079,6.392233514,0.023069229
237,Saline,Saline,78-80,50.01204256,0.438666674,7.97691763,3.992759986,0.017514907
237,Saline,Saline,98-100,45.38371993,0.307049356,7.827061946,3.928876507,0.01206359
337,Saline,Saline,0-2,58.23235851,0.211632784,16.02658296,7.424332314,0.015712321
337,Saline,Saline,2-4,61.41351177,0.253158219,14.75848529,6.883742279,0.017426759
337,Saline,Saline,4-6,59.96229444,0.214696199,15.13322513,7.043493873,0.015122114
337,Saline,Saline,8-10,49.76953132,0.284161602,8.249763266,4.10907408,0.011676411
337,Saline,Saline,12-14,62.15803375,0.18168619,15.45425701,7.180349762,0.013045704
337,Saline,Saline,16-18,68.52915288,0.225798847,19.40314909,8.863762456,0.020014273
337,Saline,Saline,22-24,68.15294334,0.180899328,20.97932254,9.535685198,0.01724999
337,Saline,Saline,38-40,50.44070524,0.467487724,6.674302862,3.43745531,0.016069682
337,Saline,Saline,58-60,66.58534053,0.213091917,18.15493791,8.33165003,0.017754073
